dataset_id,id,model_id,gene_id,read_count,fpkm,tpm,data_source,dataset_name,model_name,symbol
15,97813345,SIDM00499,SIDG09609,1486,3.28,11.92,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FCSK
15,97813346,SIDM00499,SIDG09610,999,11.66,42.36,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUNDC1
15,97813347,SIDM00499,SIDG09611,4102,6.53,23.72,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUNDC2
15,97813352,SIDM00499,SIDG09616,823,10.47,38.04,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUOM
15,97813353,SIDM00499,SIDG09617,3157,10.9,39.6,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FURIN
15,97813354,SIDM00499,SIDG09618,22928,36.41,132.28,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUS
15,97813355,SIDM00499,SIDG09620,812,3.05,11.08,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUT1
15,97813356,SIDM00499,SIDG09621,317,1.53,5.56,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUT2
15,97813357,SIDM00499,SIDG09622,3,0.02,0.07,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUT3
15,97813358,SIDM00499,SIDG09623,288,0.78,2.83,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUT4
15,97813360,SIDM00499,SIDG09625,10,0.04,0.15,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUT6
15,97813361,SIDM00499,SIDG09626,5,0.03,0.11,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUT7
15,97813362,SIDM00499,SIDG09627,824,2.01,7.3,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUT8
15,97813363,SIDM00499,SIDG09628,9,0.1,0.36,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUT8-AS1
15,97813364,SIDM00499,SIDG09629,11,0.01,0.04,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUT9
15,97813365,SIDM00499,SIDG09630,837,2.44,8.86,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUT10
15,97813366,SIDM00499,SIDG09631,1300,4.32,15.69,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUT11
15,97813367,SIDM00499,SIDG09632,762,4.22,15.33,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUZ
15,97813368,SIDM00499,SIDG09633,836,4.64,16.86,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FXN
15,97813371,SIDM00499,SIDG09636,8216,11.13,40.44,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FXR1
15,97813372,SIDM00499,SIDG09637,5057,19.07,69.28,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FXR2
15,97813374,SIDM00499,SIDG09639,1,0.0,0.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FXYD2
15,97813375,SIDM00499,SIDG09640,4682,22.93,83.3,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FXYD3
15,97813377,SIDM00499,SIDG09642,12,0.07,0.25,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FXYD5
15,97813378,SIDM00499,SIDG09643,8,0.02,0.07,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FXYD6
15,97813384,SIDM00499,SIDG09649,2,0.01,0.04,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FYB1
15,97813386,SIDM00499,SIDG09651,5128,9.41,34.19,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FYCO1
15,97813387,SIDM00499,SIDG09652,301,0.66,2.4,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FYN
15,97813388,SIDM00499,SIDG09653,7655,15.58,56.6,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FYTTD1
15,97813390,SIDM00499,SIDG09655,4106,9.63,34.99,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FZD1
15,97813391,SIDM00499,SIDG09656,67,0.52,1.89,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FZD2
